dataset,size,instance,algorithm,run,num_bars,total_waste,fitness,execution_time_ms,memory_kb
instance_n20_i1.csv,20,1,Greedy_FFD,1,16,38,16.2375,0.027894973754882812,4.875
instance_n20_i1.csv,20,1,Greedy_FFD,2,16,38,16.2375,0.015974044799804688,2.7578125
instance_n20_i1.csv,20,1,Greedy_FFD,3,16,38,16.2375,0.014781951904296875,2.28125
instance_n20_i1.csv,20,1,Greedy_FFD,4,16,38,16.2375,0.014066696166992188,2.28125
instance_n20_i1.csv,20,1,Greedy_FFD,5,16,38,16.2375,0.014066696166992188,2.28125
instance_n20_i1.csv,20,1,Genetic,1,16,38,16.2375,309.9017143249512,922.359375
instance_n20_i1.csv,20,1,Genetic,2,16,38,16.2375,307.74879455566406,915.296875
instance_n20_i1.csv,20,1,Genetic,3,16,38,16.2375,297.3799705505371,915.421875
instance_n20_i1.csv,20,1,Genetic,4,16,38,16.2375,297.3792552947998,916.859375
instance_n20_i1.csv,20,1,Genetic,5,16,38,16.2375,308.45189094543457,915.6328125
instance_n20_i2.csv,20,2,Greedy_FFD,1,13,14,13.107692307692307,0.02002716064453125,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,2,13,14,13.107692307692307,0.013113021850585938,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,3,13,14,13.107692307692307,0.011920928955078125,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,4,13,14,13.107692307692307,0.012159347534179688,1.90625
instance_n20_i2.csv,20,2,Greedy_FFD,5,13,14,13.107692307692307,0.011920928955078125,1.90625
instance_n20_i2.csv,20,2,Genetic,1,13,14,13.107692307692307,273.5157012939453,809.1640625
instance_n20_i2.csv,20,2,Genetic,2,13,14,13.107692307692307,272.4778652191162,809.6953125
instance_n20_i2.csv,20,2,Genetic,3,13,14,13.107692307692307,278.61499786376953,812.3671875
instance_n20_i2.csv,20,2,Genetic,4,13,14,13.107692307692307,270.2949047088623,808.90625
instance_n20_i2.csv,20,2,Genetic,5,13,14,13.107692307692307,273.3321189880371,808.15625
instance_n20_i3.csv,20,3,Greedy_FFD,1,8,5,8.0625,0.05125999450683594,1.21875
instance_n20_i3.csv,20,3,Greedy_FFD,2,8,5,8.0625,0.014066696166992188,1.21875
instance_n20_i3.csv,20,3,Greedy_FFD,3,8,5,8.0625,0.010013580322265625,1.21875
instance_n20_i3.csv,20,3,Greedy_FFD,4,8,5,8.0625,0.009059906005859375,1.21875
instance_n20_i3.csv,20,3,Greedy_FFD,5,8,5,8.0625,0.009059906005859375,1.21875
instance_n20_i3.csv,20,3,Genetic,1,8,5,8.0625,215.2230739593506,552.5
instance_n20_i3.csv,20,3,Genetic,2,8,5,8.0625,208.78100395202637,553.28125
instance_n20_i3.csv,20,3,Genetic,3,8,5,8.0625,207.44013786315918,551.2265625
instance_n20_i3.csv,20,3,Genetic,4,8,5,8.0625,214.53213691711426,552.5
instance_n20_i3.csv,20,3,Genetic,5,8,5,8.0625,209.9630832672119,552.515625
instance_n20_i4.csv,20,4,Greedy_FFD,1,10,6,10.06,0.016927719116210938,1.53125
instance_n20_i4.csv,20,4,Greedy_FFD,2,10,6,10.06,0.014066696166992188,1.53125
instance_n20_i4.csv,20,4,Greedy_FFD,3,10,6,10.06,0.014066696166992188,1.53125
instance_n20_i4.csv,20,4,Greedy_FFD,4,10,6,10.06,0.011920928955078125,1.53125
instance_n20_i4.csv,20,4,Greedy_FFD,5,10,6,10.06,0.009298324584960938,1.53125
instance_n20_i4.csv,20,4,Genetic,1,10,6,10.06,240.76080322265625,676.890625
instance_n20_i4.csv,20,4,Genetic,2,10,6,10.06,240.41390419006348,673.625
instance_n20_i4.csv,20,4,Genetic,3,10,6,10.06,245.65911293029785,677.2578125
instance_n20_i4.csv,20,4,Genetic,4,10,6,10.06,241.63389205932617,675.4296875
instance_n20_i4.csv,20,4,Genetic,5,10,6,10.06,235.76593399047852,675.5234375
instance_n20_i5.csv,20,5,Greedy_FFD,1,10,3,10.03,0.016927719116210938,1.53125
instance_n20_i5.csv,20,5,Greedy_FFD,2,10,3,10.03,0.013113021850585938,1.53125
instance_n20_i5.csv,20,5,Greedy_FFD,3,10,3,10.03,0.010967254638671875,1.53125
instance_n20_i5.csv,20,5,Greedy_FFD,4,10,3,10.03,0.010967254638671875,1.53125
instance_n20_i5.csv,20,5,Greedy_FFD,5,10,3,10.03,0.010013580322265625,1.53125
instance_n20_i5.csv,20,5,Genetic,1,10,3,10.03,244.7659969329834,686.015625
instance_n20_i5.csv,20,5,Genetic,2,10,3,10.03,239.88008499145508,690.5078125
instance_n20_i5.csv,20,5,Genetic,3,10,3,10.03,270.9481716156006,688.1796875
instance_n20_i5.csv,20,5,Genetic,4,10,3,10.03,241.99414253234863,687.5
instance_n20_i5.csv,20,5,Genetic,5,10,3,10.03,239.06612396240234,692.6328125
instance_n50_i1.csv,50,1,Greedy_FFD,1,27,10,27.037037037037038,0.051021575927734375,4.015625
instance_n50_i1.csv,50,1,Greedy_FFD,2,27,10,27.037037037037038,0.035762786865234375,4.015625
instance_n50_i1.csv,50,1,Greedy_FFD,3,27,10,27.037037037037038,0.034809112548828125,4.015625
instance_n50_i1.csv,50,1,Greedy_FFD,4,27,10,27.037037037037038,0.034809112548828125,4.015625
instance_n50_i1.csv,50,1,Greedy_FFD,5,27,10,27.037037037037038,0.03528594970703125,4.015625
instance_n50_i1.csv,50,1,Genetic,1,27,10,27.037037037037038,562.5820159912109,1722.1015625
instance_n50_i1.csv,50,1,Genetic,2,27,10,27.037037037037038,564.251184463501,1731.9921875
instance_n50_i1.csv,50,1,Genetic,3,27,10,27.037037037037038,567.3961639404297,1723.8828125
instance_n50_i1.csv,50,1,Genetic,4,27,10,27.037037037037038,545.5806255340576,1724.484375
instance_n50_i1.csv,50,1,Genetic,5,27,10,27.037037037037038,565.0527477264404,1723.640625
instance_n50_i2.csv,50,2,Greedy_FFD,1,26,6,26.023076923076925,0.041961669921875,3.890625
instance_n50_i2.csv,50,2,Greedy_FFD,2,26,6,26.023076923076925,0.03695487976074219,3.890625
instance_n50_i2.csv,50,2,Greedy_FFD,3,26,6,26.023076923076925,0.03600120544433594,3.890625
instance_n50_i2.csv,50,2,Greedy_FFD,4,26,6,26.023076923076925,0.03504753112792969,3.890625
instance_n50_i2.csv,50,2,Greedy_FFD,5,26,6,26.023076923076925,0.034809112548828125,3.890625
instance_n50_i2.csv,50,2,Genetic,1,26,6,26.023076923076925,551.71799659729,1669.0703125
instance_n50_i2.csv,50,2,Genetic,2,26,6,26.023076923076925,582.1628570556641,1682.796875
instance_n50_i2.csv,50,2,Genetic,3,26,6,26.023076923076925,551.9249439239502,1671.4375
instance_n50_i2.csv,50,2,Genetic,4,26,6,26.023076923076925,549.5519638061523,1675.0546875
instance_n50_i2.csv,50,2,Genetic,5,26,6,26.023076923076925,542.4702167510986,1676.953125
instance_n50_i3.csv,50,3,Greedy_FFD,1,27,13,27.048148148148147,0.050067901611328125,4.015625
instance_n50_i3.csv,50,3,Greedy_FFD,2,27,13,27.048148148148147,0.034809112548828125,4.015625
instance_n50_i3.csv,50,3,Greedy_FFD,3,27,13,27.048148148148147,0.03504753112792969,4.015625
instance_n50_i3.csv,50,3,Greedy_FFD,4,27,13,27.048148148148147,0.03528594970703125,4.015625
instance_n50_i3.csv,50,3,Greedy_FFD,5,27,13,27.048148148148147,0.03504753112792969,4.015625
instance_n50_i3.csv,50,3,Genetic,1,27,13,27.048148148148147,556.0030937194824,1730.359375
instance_n50_i3.csv,50,3,Genetic,2,27,13,27.048148148148147,556.225061416626,1731.171875
instance_n50_i3.csv,50,3,Genetic,3,27,13,27.048148148148147,558.2828521728516,1717.0859375
instance_n50_i3.csv,50,3,Genetic,4,27,13,27.048148148148147,578.6480903625488,1728.0859375
instance_n50_i3.csv,50,3,Genetic,5,27,13,27.048148148148147,556.6141605377197,1728.671875
instance_n50_i4.csv,50,4,Greedy_FFD,1,26,9,26.034615384615385,0.04696846008300781,3.890625
instance_n50_i4.csv,50,4,Greedy_FFD,2,26,9,26.034615384615385,0.03719329833984375,3.890625
instance_n50_i4.csv,50,4,Greedy_FFD,3,26,9,26.034615384615385,0.03218650817871094,3.890625
instance_n50_i4.csv,50,4,Greedy_FFD,4,26,9,26.034615384615385,0.032901763916015625,3.890625
instance_n50_i4.csv,50,4,Greedy_FFD,5,26,9,26.034615384615385,0.03600120544433594,3.890625
instance_n50_i4.csv,50,4,Genetic,1,26,9,26.034615384615385,569.0240859985352,1669.8203125
instance_n50_i4.csv,50,4,Genetic,2,26,9,26.034615384615385,547.839879989624,1665.7109375
instance_n50_i4.csv,50,4,Genetic,3,26,9,26.034615384615385,546.2391376495361,1661.6953125
instance_n50_i4.csv,50,4,Genetic,4,26,9,26.034615384615385,542.963981628418,1667.6484375
instance_n50_i4.csv,50,4,Genetic,5,26,9,26.034615384615385,546.3242530822754,1658.15625
instance_n50_i5.csv,50,5,Greedy_FFD,1,27,8,27.02962962962963,0.05125999450683594,4.015625
instance_n50_i5.csv,50,5,Greedy_FFD,2,27,8,27.02962962962963,0.03528594970703125,4.015625
instance_n50_i5.csv,50,5,Greedy_FFD,3,27,8,27.02962962962963,0.03504753112792969,4.015625
instance_n50_i5.csv,50,5,Greedy_FFD,4,27,8,27.02962962962963,0.034809112548828125,4.015625
instance_n50_i5.csv,50,5,Greedy_FFD,5,27,8,27.02962962962963,0.03504753112792969,4.015625
instance_n50_i5.csv,50,5,Genetic,1,27,8,27.02962962962963,560.060977935791,1730.2890625
instance_n50_i5.csv,50,5,Genetic,2,27,8,27.02962962962963,558.8192939758301,1731.7421875
instance_n50_i5.csv,50,5,Genetic,3,27,8,27.02962962962963,559.4820976257324,1730.7265625
instance_n50_i5.csv,50,5,Genetic,4,27,8,27.02962962962963,561.4802837371826,1739.046875
instance_n50_i5.csv,50,5,Genetic,5,27,8,27.02962962962963,599.2798805236816,1732.4140625
instance_n100_i1.csv,100,1,Greedy_FFD,1,51,9,51.01764705882353,0.11587142944335938,7.5625
instance_n100_i1.csv,100,1,Greedy_FFD,2,51,9,51.01764705882353,0.10585784912109375,7.5625
instance_n100_i1.csv,100,1,Greedy_FFD,3,51,9,51.01764705882353,0.1010894775390625,7.5625
instance_n100_i1.csv,100,1,Greedy_FFD,4,51,9,51.01764705882353,0.10013580322265625,7.5625
instance_n100_i1.csv,100,1,Greedy_FFD,5,51,9,51.01764705882353,0.1010894775390625,7.5625
instance_n100_i1.csv,100,1,Genetic,1,51,9,51.01764705882353,1212.277889251709,3259.8203125
instance_n100_i1.csv,100,1,Genetic,2,51,9,51.01764705882353,1187.978982925415,3244.84375
instance_n100_i1.csv,100,1,Genetic,3,51,9,51.01764705882353,1194.4830417633057,3251.15625
instance_n100_i1.csv,100,1,Genetic,4,51,9,51.01764705882353,1192.3441886901855,3243.4375
instance_n100_i1.csv,100,1,Genetic,5,51,9,51.01764705882353,1189.4149780273438,3261.8046875
instance_n100_i2.csv,100,2,Greedy_FFD,1,52,14,52.026923076923076,0.12087821960449219,7.6875
instance_n100_i2.csv,100,2,Greedy_FFD,2,52,14,52.026923076923076,0.09512901306152344,7.6875
instance_n100_i2.csv,100,2,Greedy_FFD,3,52,14,52.026923076923076,0.09393692016601562,7.6875
instance_n100_i2.csv,100,2,Greedy_FFD,4,52,14,52.026923076923076,0.09393692016601562,7.6875
instance_n100_i2.csv,100,2,Greedy_FFD,5,52,14,52.026923076923076,0.09703636169433594,7.6875
instance_n100_i2.csv,100,2,Genetic,1,52,14,52.026923076923076,1191.0669803619385,3288.234375
instance_n100_i2.csv,100,2,Genetic,2,52,14,52.026923076923076,1220.9300994873047,3279.625
instance_n100_i2.csv,100,2,Genetic,3,52,14,52.026923076923076,1226.5009880065918,3287.8515625
instance_n100_i2.csv,100,2,Genetic,4,52,14,52.026923076923076,1208.463191986084,3277.4765625
instance_n100_i2.csv,100,2,Genetic,5,52,14,52.026923076923076,1224.5018482208252,3292.7109375
instance_n100_i3.csv,100,3,Greedy_FFD,1,56,39,56.06964285714286,0.12111663818359375,8.28125
instance_n100_i3.csv,100,3,Greedy_FFD,2,56,39,56.06964285714286,0.10991096496582031,8.28125
instance_n100_i3.csv,100,3,Greedy_FFD,3,56,39,56.06964285714286,0.12111663818359375,8.28125
instance_n100_i3.csv,100,3,Greedy_FFD,4,56,39,56.06964285714286,0.10395050048828125,8.28125
instance_n100_i3.csv,100,3,Greedy_FFD,5,56,39,56.06964285714286,0.09894371032714844,8.28125
instance_n100_i3.csv,100,3,Genetic,1,56,39,56.06964285714286,1284.2302322387695,3406.09375
instance_n100_i3.csv,100,3,Genetic,2,56,39,56.06964285714286,1230.1459312438965,3404.484375
instance_n100_i3.csv,100,3,Genetic,3,56,39,56.06964285714286,1214.9860858917236,3416.1015625
instance_n100_i3.csv,100,3,Genetic,4,56,39,56.06964285714286,1230.821132659912,3409.0546875
instance_n100_i3.csv,100,3,Genetic,5,56,39,56.06964285714286,1275.8877277374268,3411.1171875
instance_n100_i4.csv,100,4,Greedy_FFD,1,53,14,53.026415094339626,0.11801719665527344,7.90625
instance_n100_i4.csv,100,4,Greedy_FFD,2,53,14,53.026415094339626,0.10228157043457031,7.90625
instance_n100_i4.csv,100,4,Greedy_FFD,3,53,14,53.026415094339626,0.10228157043457031,7.90625
instance_n100_i4.csv,100,4,Greedy_FFD,4,53,14,53.026415094339626,0.09799003601074219,7.90625
instance_n100_i4.csv,100,4,Greedy_FFD,5,53,14,53.026415094339626,0.10085105895996094,7.90625
instance_n100_i4.csv,100,4,Genetic,1,53,14,53.026415094339626,1222.9278087615967,3364.2265625
instance_n100_i4.csv,100,4,Genetic,2,53,14,53.026415094339626,1205.4710388183594,3374.765625
instance_n100_i4.csv,100,4,Genetic,3,53,14,53.026415094339626,1224.212884902954,3370.6484375
instance_n100_i4.csv,100,4,Genetic,4,53,14,53.026415094339626,1210.3478908538818,3366.875
instance_n100_i4.csv,100,4,Genetic,5,53,14,53.026415094339626,1249.6612071990967,3361.9609375
instance_n100_i5.csv,100,5,Greedy_FFD,1,49,4,49.00816326530612,0.11014938354492188,7.3125
instance_n100_i5.csv,100,5,Greedy_FFD,2,49,4,49.00816326530612,0.08893013000488281,7.3125
instance_n100_i5.csv,100,5,Greedy_FFD,3,49,4,49.00816326530612,0.09298324584960938,7.3125
instance_n100_i5.csv,100,5,Greedy_FFD,4,49,4,49.00816326530612,0.09489059448242188,7.3125
instance_n100_i5.csv,100,5,Greedy_FFD,5,49,4,49.00816326530612,0.09298324584960938,7.3125
instance_n100_i5.csv,100,5,Genetic,1,49,4,49.00816326530612,1180.5169582366943,3173.84375
instance_n100_i5.csv,100,5,Genetic,2,49,4,49.00816326530612,1166.3758754730225,3170.578125
instance_n100_i5.csv,100,5,Genetic,3,49,4,49.00816326530612,1216.5908813476562,3179.0546875
instance_n100_i5.csv,100,5,Genetic,4,49,4,49.00816326530612,1160.3338718414307,3176.6328125
instance_n100_i5.csv,100,5,Genetic,5,49,4,49.00816326530612,1174.8449802398682,3186.4296875
instance_n200_i1.csv,200,1,Greedy_FFD,1,92,2,92.00217391304348,0.3209114074707031,14.609375
instance_n200_i1.csv,200,1,Greedy_FFD,2,92,2,92.00217391304348,0.308990478515625,14.609375
instance_n200_i1.csv,200,1,Greedy_FFD,3,92,2,92.00217391304348,0.3046989440917969,14.609375
instance_n200_i1.csv,200,1,Greedy_FFD,4,92,2,92.00217391304348,0.308990478515625,14.609375
instance_n200_i1.csv,200,1,Greedy_FFD,5,92,2,92.00217391304348,0.31113624572753906,14.609375
instance_n200_i1.csv,200,1,Genetic,1,92,2,92.00217391304348,2951.914072036743,5966.453125
instance_n200_i1.csv,200,1,Genetic,2,92,2,92.00217391304348,2956.5320014953613,5953.4765625
instance_n200_i1.csv,200,1,Genetic,3,92,2,92.00217391304348,2968.1639671325684,5952.46875
instance_n200_i1.csv,200,1,Genetic,4,92,2,92.00217391304348,2903.4628868103027,5974.1328125
instance_n200_i1.csv,200,1,Genetic,5,92,2,92.00217391304348,2911.044120788574,5968.625
instance_n200_i2.csv,200,2,Greedy_FFD,1,97,14,97.01443298969072,0.33473968505859375,15.6328125
instance_n200_i2.csv,200,2,Greedy_FFD,2,97,14,97.01443298969072,0.3268718719482422,15.6328125
instance_n200_i2.csv,200,2,Greedy_FFD,3,97,14,97.01443298969072,0.32901763916015625,15.6328125
instance_n200_i2.csv,200,2,Greedy_FFD,4,97,14,97.01443298969072,0.3211498260498047,15.6328125
instance_n200_i2.csv,200,2,Greedy_FFD,5,97,14,97.01443298969072,0.3218650817871094,15.6328125
instance_n200_i2.csv,200,2,Genetic,1,97,14,97.01443298969072,2997.1649646759033,6125.890625
instance_n200_i2.csv,200,2,Genetic,2,97,14,97.01443298969072,2973.8221168518066,6146.546875
instance_n200_i2.csv,200,2,Genetic,3,97,14,97.01443298969072,2988.5308742523193,6122.96875
instance_n200_i2.csv,200,2,Genetic,4,97,14,97.01443298969072,3030.1761627197266,6124.625
instance_n200_i2.csv,200,2,Genetic,5,97,14,97.01443298969072,3004.185914993286,6129.390625
instance_n200_i3.csv,200,3,Greedy_FFD,1,105,26,105.0247619047619,0.3612041473388672,17.0078125
instance_n200_i3.csv,200,3,Greedy_FFD,2,105,26,105.0247619047619,0.3437995910644531,17.0078125
instance_n200_i3.csv,200,3,Greedy_FFD,3,105,26,105.0247619047619,0.33092498779296875,17.0078125
instance_n200_i3.csv,200,3,Greedy_FFD,4,105,26,105.0247619047619,0.3418922424316406,17.0078125
instance_n200_i3.csv,200,3,Greedy_FFD,5,105,26,105.0247619047619,0.331878662109375,17.0078125
instance_n200_i3.csv,200,3,Genetic,1,105,26,105.0247619047619,3136.181116104126,6577.9765625
instance_n200_i3.csv,200,3,Genetic,2,105,26,105.0247619047619,3060.7681274414062,6570.40625
instance_n200_i3.csv,200,3,Genetic,3,105,26,105.0247619047619,3070.7759857177734,6600.953125
instance_n200_i3.csv,200,3,Genetic,4,105,26,105.0247619047619,3111.5057468414307,6571.984375
instance_n200_i3.csv,200,3,Genetic,5,105,26,105.0247619047619,3096.4431762695312,6570.890625
instance_n200_i4.csv,200,4,Greedy_FFD,1,105,24,105.02285714285715,0.3437995910644531,17.0078125
instance_n200_i4.csv,200,4,Greedy_FFD,2,105,24,105.02285714285715,0.33473968505859375,17.0078125
instance_n200_i4.csv,200,4,Greedy_FFD,3,105,24,105.02285714285715,0.335693359375,17.0078125
instance_n200_i4.csv,200,4,Greedy_FFD,4,105,24,105.02285714285715,0.3247261047363281,17.0078125
instance_n200_i4.csv,200,4,Greedy_FFD,5,105,24,105.02285714285715,0.32901763916015625,17.0078125
instance_n200_i4.csv,200,4,Genetic,1,105,24,105.02285714285715,3149.5680809020996,6613.5859375
instance_n200_i4.csv,200,4,Genetic,2,105,24,105.02285714285715,3166.9318675994873,6589.4375
instance_n200_i4.csv,200,4,Genetic,3,105,24,105.02285714285715,3175.0922203063965,6580.625
instance_n200_i4.csv,200,4,Genetic,4,105,24,105.02285714285715,3145.335912704468,6586.7265625
instance_n200_i4.csv,200,4,Genetic,5,105,24,105.02285714285715,3142.413854598999,6591.6328125
instance_n200_i5.csv,200,5,Greedy_FFD,1,105,41,105.03904761904762,0.3418922424316406,17.0078125
instance_n200_i5.csv,200,5,Greedy_FFD,2,105,41,105.03904761904762,0.3311634063720703,17.0078125
instance_n200_i5.csv,200,5,Greedy_FFD,3,105,41,105.03904761904762,0.33092498779296875,17.0078125
instance_n200_i5.csv,200,5,Greedy_FFD,4,105,41,105.03904761904762,0.3190040588378906,17.0078125
instance_n200_i5.csv,200,5,Greedy_FFD,5,105,41,105.03904761904762,0.3421306610107422,17.0078125
instance_n200_i5.csv,200,5,Genetic,1,105,41,105.03904761904762,3087.815761566162,6533.328125
instance_n200_i5.csv,200,5,Genetic,2,105,41,105.03904761904762,3063.431978225708,6537.0078125
instance_n200_i5.csv,200,5,Genetic,3,105,41,105.03904761904762,3062.2053146362305,6528.3203125
instance_n200_i5.csv,200,5,Genetic,4,105,41,105.03904761904762,3016.6869163513184,6549.359375
instance_n200_i5.csv,200,5,Genetic,5,105,41,105.03904761904762,2998.8794326782227,6517.7109375
